;IcecreamMan.mvar;The classic Halo game with my own added twist. By Tonny T (For use with Icecream Man gametype};IcecreamMan.bin;The classic gamemode from Halo 3 returns with a twist. Use with "Icecream Man" map. 8-16 Recommended. Created by "Tonny T".;1;;;;
;OBJ Warfield - Oscar Dam.mvar;Use BTB Slayer, Bro Slayer, and Territories gametype Warfield: Objective by SkiD514. 10-16p. YouTube.com/TheProForgeLeague;[Territories] WarField Objective (OBJ WarField maps).bin;;0;;;;
;OBJ Trench Battlefield.mvar;Welcome to the battlefield soldier! Artillery & turrets ready for fire. Territories "Trench Warfare" gametype. 12-16 players;[Territories] Trench Warfare (OBJ Trench Battlefield).bin;Advance to capture territories. Teams earn points for each territory they control. Use with "Trench Warfare" map variant.;0;;;;
;MISC Team Tac - Urbanization.mvar;Team Tac map with a lot of verticality. Set in a city. Use with Slayer gametype Team Tac.;[Slayer] TEAM TAC (MISC Team Tac maps).bin;;0;;;;
;MISC Reach Sham Bo.mvar;Remake of popular minigame "Ro Sham Bo" from Halo 4 original by yoman54. Use with "Reach Sham Bo" Slayer gametype.;[Slayer] Reach Sham Bo (MISC Reach Sham Bo).bin;;0;;;;
;OBST Masta Challenge 1.mvar;Test your driving skills with this difficult challenge track. Can you masta the mongoose? Use Race GT Challenge;[Race] Race.bin;$hr_gvar_Race_desc;0;;;;
;MINI Hog Derby - Waterfall.mvar;Use with KoTH GT RENT-A-HOG. 4-16 players;[KOTH] Rent-A-Hog (MINI Crash-up maps).bin;Last standing warthog wins. Use with "Hog Derby" map variants.;1;4-16;great;great;
;MINI Hog Derby - Sky High.mvar;Basically Crash-Up-Derby. Use KoTH GT Rent A Hog;[KOTH] Rent-A-Hog (MINI Crash-up maps).bin;Last standing warthog wins. Use with "Hog Derby" map variants.;1;4-16;great;great;
;MINI Race War (Large).mvar;For use with the "Don't EMP Me Bro" gametype. (4-16 players);[KOTH] Push 'em Back (MINI Push o War).bin;;1;;;;
;MINI Drag Race Mayhem.mvar;Drag race mayhem style! Featuring head-on action, jumps and traps. By xDangles25x. Use KOTH gametype Drag Race: Mayhem;[KOTH] Drag Race Mayhem (MINI Drag Race Mayhem).bin;Drag Race: Mayhem by xDangles25x;1;;;;
;MINI Drag Race.mvar;Drag Race. Gate. (16 players supported, teams of 2) Use KoTH Drag Race or modded gametype Drag Race;[KOTH] Drag Race (MINI Drag Race).bin;Drag Race;1;;;;
;OBJ Summit.mvar;Invasion Map. Use with Invasion gametype "Invasion_Summit" or invasion gametype "Spartan Skirmish_Summit". (12-16 players);[Invasion] Spartan Skirmish - Summit (OBJ Invasion Summit).bin;Spartans vs. Elites. Kills = Wins.;0;;;;
;MINI Splatter Monkey X.mvar;SPLATTER MONKEY X - Use with infection gametype SPLATTER MONKEY - 8-16 players recommended.;[Infection] Splatter Monkey (MINI Splatter Monkey).bin;Splat!;1;;;;
;MINI Splatter Arena.mvar;SPLAT! Humans need to survive the warthog zombies. Made by xDangles25x & Boo Boo Wick. Use infection GT Splatter Arena. 8-16p.;[Infection] Splatter Arena (MINI Splatter Arena).bin;SPLAT! Humans need to survive the warthog zombies. Made by xDangles25x & Boo Boo Wick.;1;;;;
;MINI Push o' War.mvar;Push the kill ball back at the opposite team and survive to win! Made for the Push 'em Back KOTH gametype. 4v4 ONLY, RvB.;[Infection] Push (MINI Knock 'Em).bin;For Knock 'Em.;1;;;;
